id,created,updated,title,tab_title,tab_number,tab_type,tableau_url,location_id,aplus_date_range,aplus_site,aplus_area,rems_site,rems_fleet_type,rems_date_range
245,2022-08-15 17:55:00.000 +0800,2022-08-15 17:55:00.000 +0800,CC WHIMS Summary,CC WHIMS Summary,7,1,https://analytics.fmgl.com.au/t/sandbox/views/CCWHIMSSummary/CCWHIMSSummary?:showAppBanner=false&:display_count=n&:showVizHome=n&:origin=viz_share_link&:device=desktop,35,,,,,,
246,2022-08-15 17:55:00.000 +0800,2022-08-15 17:55:00.000 +0800,CC WHIMS TUM,CC WHIMS TUM,8,1,https://analytics.fmgl.com.au/t/sandbox/views/CCWHIMSWeeklyTUM/CCWHIMSWeeklyTUM?:showAppBanner=false&:display_count=n&:showVizHome=n&:origin=viz_share_link&:device=desktop,35,,,,,,
247,2022-08-15 17:55:00.000 +0800,2022-08-15 17:55:00.000 +0800,CC WHIMS 30 Day DT,CC WHIMS 30 Day DT,9,3,,35,30 Days,Christmas Creek,CC OPF2,,,
110,2022-08-15 17:55:00.000 +0800,2022-08-15 17:55:00.000 +0800,Dewatering Monthly DE Report,Dewatering Monthly DE Report,1,1,https://analytics.fmgl.com.au/t/published/views/DewateringMonthlyDE/DewateringMonthlyDE?:showAppBanner=false&:display_count=n&:showVizHome=n&:origin=viz_share_link&:device=desktop,23,,,,,,
184,2022-08-15 17:55:00.000 +0800,2022-08-15 17:55:00.000 +0800,EW FP Actions Report,EW FP Actions Report,13,1,https://analytics.fmgl.com.au/t/sandbox/views/InvestigationandActiontracker/ActionTracker/308cc819-355a-4aa8-ae89-2f81eb85ab99/EWFPActionTracker?:showAppBanner=false&:display_count=n&:showVizHome=n&:origin=viz_share_link&:device=desktop,37,,,,,,
185,2022-08-15 17:55:00.000 +0800,2022-08-15 17:55:00.000 +0800,EW FP Investigations Report,EW FP Investigations Report,14,1,https://analytics.fmgl.com.au/t/sandbox/views/InvestigationandActiontracker/InvestigationTracker/46f3364f-b751-42e7-b50e-15ad636371b9/EWFPInvestigationTracker?:showAppBanner=false&:display_count=n&:showVizHome=n&:origin=viz_share_link&:device=desktop,37,,,,,,
175,2022-08-15 17:55:00.000 +0800,2022-08-15 17:55:00.000 +0800,EW OPF1 30 Day DT,EW OPF1 30 Day DT,6,3,,37,30 Days,Eliwana,EW OPF1,,,
179,2022-08-15 17:55:00.000 +0800,2022-08-15 17:55:00.000 +0800,EW OPF1 Forcelist,EW OPF1 Forcelist,12,1,https://analytics.fmgl.com.au/t/sandbox/views/EliwanaWeeklyReliabilityDashboard_16558013224160/Forcelist?:showAppBanner=false&:origin=viz_share_link&:display_count=n&:showVizHome=n&:device=desktop,37,,,,,,
182,2022-08-15 17:55:00.000 +0800,2022-08-15 17:55:00.000 +0800,EW OPF1 Idlers,EW OPF1 Idlers,8,1,https://analytics.fmgl.com.au/t/sandbox/views/EWOPFIdlers/EWOPFIdlers?:showAppBanner=false&:origin=viz_share_link&:display_count=n&:showVizHome=n&:device=desktop,37,,,,,,
173,2022-08-15 17:55:00.000 +0800,2022-08-15 17:55:00.000 +0800,EW OPF1 Summary,EW OPF1 Summary,1,1,https://analytics.fmgl.com.au/t/sandbox/views/EWOPF1Summary/EWOPF1Summary?:showAppBanner=false&:display_count=n&:showVizHome=n&:origin=viz_share_link&:device=desktop,37,,,,,,
